,ID,question_id,question,intructor_answers,answer,input
3192,803,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error.,using index outside bounds array generates error is compilation error run time error compilation error
3193,413,2023-07-02,What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",contains all the standard C++ library's i.e. string,what role header file contains standard library i string
3194,1495,2023-07-08,What operations would you need to perform to find a given element on a stack?,"Pop all the elements and store them on another stack until the element is found, then push back all the elements on the original stack.",could traverse through the list/array to find the element.,what operations would need perform find given element stack could traverse list array find element
3195,568,2023-05-03,How are overloaded functions differentiated by the compiler?,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",overloaded function simply invovles haing a method with the same name within the class. is used to implement a method for subclass which overrides in other words replaces the implementation of the super class. Overloading the concept of providing different meaning to a object based on the context of its presence. Overloading is one type of polymorphism and this is also a feature in programing.,how overloaded functions differentiated compiler overloaded function simply invovles haing method name within class used implement method subclass overrides words replaces implementation super class overloading concept providing different meaning object based context presence overloading one type polymorphism also feature programing
3196,789,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error,using index outside bounds array generates error is compilation error run time error compilation error
3197,840,2023-07-04,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,No answer,how bi dimensional arrays stored memory rows columns no answer
3198,123,2023-05-01, What is a variable?,A location in memory that can store a value.,"It's a sybol or name for a value/number. Example: 'a_used_number' can stand for any given number, and the programmer can refer to that number by using the variable name.",what variable it sybol name value number example used number stand given number programmer refer number using variable name
3199,329,2023-05-02,How many constructors can be created for a class?,Unlimited number.,1,how many constructors created class
3200,1451,2023-05-08,"Which implementation (array-based vs. list-based) is preferred, and why?","Link-based, because they are dynamic (no size constraints)",array based list is preferred because it can hold any size as long as u specify it.,which implementation array based vs list based preferred why array based list preferred hold size long specify it
3201,757,2023-05-04,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"All the dimensions, except the first one.",All of the dimensions must be specified.,how many dimensions need specified passing multi dimensional array argument function all dimensions must specified
3202,301,2023-04-02,When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",When it the programs compiles,when create default constructor when programs compiles
3203,2324,2023-06-12,What is a queue?,A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,"A queue is a linear, first-in first-out data structure. Data must be accessed in the same order it was put into the queue, so only the oldest item in the queue is accessible at any time. Main functions defined are enqueue and dequeue.",what queue queue linear first in first out data structure data must accessed order put queue oldest item queue accessible time main functions defined enqueue dequeue
3204,1605,2023-04-09,How can you implement a queue with a list?,"Keep the rear of the queue pointing to the tail of the linked list, so the enqueue operation is done at the end of the list, and keep the front of the queue pointing to the head of the linked list, so the dequeue operation is done at the beginning of the list.",linked list checking for front and rear.  Keep enqueueing elements until front equal to rear -1.,how implement queue list linked list checking front rear keep enqueueing elements front equal rear
3205,1925,2023-03-11,How are objects initialized when they are created?,By using constructors.,not answered,how objects initialized created answered
3206,525,2023-04-03,What is the main advantage associated with function arguments that are passed by reference?,It avoids making copies of large data structures when calling functions.,The original variable being referenced can be modified directly by the called function.,what main advantage associated function arguments passed reference the original variable referenced modified directly called function
3207,247,2023-02-02,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.," A data member is a more general term describing all objects instantiated within a member function.  ""Local"" in local variables refers more to the scope of a variable, which may be located in anything from a control structure to a class.  Local variables whose scope are in a member function are the same as data members of member functions.",what difference data member local variable inside member function data member general term describing objects instantiated within member function local local variables refers scope variable may located anything control structure class local variables whose scope member function data members member functions
3208,533,2023-04-03,What is the main advantage associated with function arguments that are passed by reference?,It avoids making copies of large data structures when calling functions.,"it takes less memory, thus it would make the program faster",what main advantage associated function arguments passed reference takes less memory thus would make program faster
3209,899,2023-03-05,"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",N (the length of the array) operations achieved for a sorted array.,"The number of operations for insertions sort, under best-case, is  n(n-1)/2. The best case for insertion sort is on a sorted list where it runs is O(n).",what number operations insertion sort best case scenario best case scenario the number operations insertions sort best case n the best case insertion sort sorted list runs n
3210,474,2023-02-03,What is the scope of global variables?,File scope.,global variables have program scope (accessible anywhere in program),what scope global variables global variables program scope accessible anywhere program
3211,1421,2023-04-08,How can you implement a stack with a list?,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.","Keep a pointer pointing to the last element entered at the front of<br> the array and move the pointer ""back"" when you delete an element.",how implement stack list keep pointer pointing last element entered front of br array move pointer back delete element
3212,454,2023-02-03,What is the scope of global variables?,File scope.,The entire program,what scope global variables the entire program
3213,803,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error.,using index outside bounds array generates error is compilation error run time error compilation error
3214,1711,2023-01-10,What is a tree?,"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",A finite set of nodes that starts with the root and terminates with leaves.,what tree finite set nodes starts root terminates leaves
3215,196,2023-07-01,What is the main difference between a while and a do...while statement?,The block inside a do...while statement will execute at least once.,"While loop evaluates its expression at the top of its loop and decides if it needs to execute, and the do-while always executes at least once and then evaluates its expression at the bottom of its loop.",what main difference do while statement while loop evaluates expression top loop decides needs execute do while always executes least evaluates expression bottom loop
3216,1563,2023-03-09,How can you implement a queue with an array?,"Use a circular array. Keep the rear of the queue toward the end of the array, and the front toward the beginning, and allow the rear pointer to wrap around.","For applications in which a fixed-sized queue does not present a problem, you can use an array to represent a queue.",how implement queue array for applications fixed sized queue present problem use array represent queue
3217,1452,2023-06-08,How are infix expressions evaluated by computers?,"First, they are converted into postfix form, followed by an evaluation of the postfix expression.",They are converted to post fix expressions.  It still follow the order of precedence for the operators.,how infix expressions evaluated computers they converted post fix expressions it still follow order precedence operators
3218,164,2023-06-01,Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),After declaration of the variable's data type.,where variables declared program after declaration variable data type
3219,26,2023-01-01, What is the role of a prototype program in problem solving?, To simulate the behaviour of portions of the desired software product., The role of a prototype program is to help spot key problems that may arise during the actual programing.,what role prototype program problem solving the role prototype program help spot key problems may arise actual programing
3220,510,2023-04-03,What is the main advantage associated with function arguments that are passed by reference?,It avoids making copies of large data structures when calling functions.,"It is often more efficient to pass references, rather than large objects, to functions. This allows the compiler to pass the address of the object while maintaining the syntax that would have been used to access the object.",what main advantage associated function arguments passed reference it often efficient pass references rather large objects functions this allows compiler pass address object maintaining syntax would used access object
3221,685,2023-02-04,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,The strings declared using an array of characters have a null element added at the end of the array.,"declaring a string, it includes white spaces<br>but declaring a array of character does not include white spaces",what main difference strings declared using type string versus strings declared using array characters declaring string includes white spaces br but declaring array character include white spaces
3222,789,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error,using index outside bounds array generates error is compilation error run time error compilation error
3223,1593,2023-04-09,How can you implement a queue with a list?,"Keep the rear of the queue pointing to the tail of the linked list, so the enqueue operation is done at the end of the list, and keep the front of the queue pointing to the head of the linked list, so the dequeue operation is done at the beginning of the list.",you use the first element in the list as the remove point for the queue and insert items at the end of the list.,how implement queue list use first element list remove point queue insert items end list
3224,2192,2023-02-12,What is the experimental approach for measuring the running time of an algorithm?,Implement the algorithm and measure the physical running time.,not answered,what experimental approach measuring running time algorithm answered
3225,243,2023-02-02,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them., data members are declared in a class definition but outside the bodies of a class's member-function definitions. Local variables are declared in a function definition's body,what difference data member local variable inside member function data members declared class definition outside bodies class member function definitions local variables declared function definition body
3226,1611,2023-04-09,How can you implement a queue with a list?,"Keep the rear of the queue pointing to the tail of the linked list, so the enqueue operation is done at the end of the list, and keep the front of the queue pointing to the head of the linked list, so the dequeue operation is done at the beginning of the list.",you would have your list and add a back pointer so that your program knows where the end is,how implement queue list would list add back pointer program knows end
3227,687,2023-02-04,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,The strings declared using an array of characters have a null element added at the end of the array.,Strings declared using the type string can vary in length. Strings declared using an array of characters can not extend past the array length.,what main difference strings declared using type string versus strings declared using array characters strings declared using type string vary length strings declared using array characters extend past array length
3228,1575,2023-03-09,How can you implement a queue with an array?,"Use a circular array. Keep the rear of the queue toward the end of the array, and the front toward the beginning, and allow the rear pointer to wrap around.",Keep track of the front and rear indexes. Either:<br>1)Dequeue items by shifting the array left<br>2)Use wrapped configuration,how implement queue array keep track front rear indexes either br dequeue items shifting array left br use wrapped configuration
3229,1862,2023-07-10,How many comparisons does it take to find an element in a binary search tree?,The height of the tree (or log of the number of elements in the tree).,2 way key comparison,how many comparisons take find element binary search tree way key comparison
3230,382,2023-06-02,What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.","A function prototype only names the function, its return type, and it's argument list, while a definition defines the above as well as what the function actually does.",what difference function prototype function definition function prototype names function return type argument list definition defines well function actually does
3231,1223,2023-04-07,How are linked lists passed as arguments to a function?,By reference.,not answered,how linked lists passed arguments function answered
3232,64,2023-03-01,What are the main advantages associated with object-oriented programming?,Abstraction and reusability., Object oriented programming allows programmers to use an object with classes that can be changed and manipulated while not affecting the entire object at once. The classes all hold attrubutes that affect the object.,what main advantages associated object oriented programming object oriented programming allows programmers use object classes changed manipulated affecting entire object once the classes hold attrubutes affect object
3233,1206,2023-03-07,What is the main advantage of arrays over linked lists?,"The elements in an array can be accessed directly (as opposed to linked lists, which require iterative traversal).","Any entitiy in an array may accessed immediately, whereas a linked list must be traversed one item at a time because each object only points adjacent objects",what main advantage arrays linked lists any entitiy array may accessed immediately whereas linked list must traversed one item time object points adjacent objects
3234,838,2023-07-04,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,by row and column,how bi dimensional arrays stored memory rows columns row column
3235,693,2023-03-04,How are arrays passed to functions?,by reference.,Arrays are passed to functions by reference.,how arrays passed functions arrays passed functions reference
3236,64,2023-03-01,What are the main advantages associated with object-oriented programming?,Abstraction and reusability., Object oriented programming allows programmers to use an object with classes that can be changed and manipulated while not affecting the entire object at once. The classes all hold attrubutes that affect the object.,what main advantages associated object oriented programming object oriented programming allows programmers use object classes changed manipulated affecting entire object once the classes hold attrubutes affect object
3237,599,2023-06-03,"When defining a recursive function, what are possible causes for infinite recursion?","If the recursion step is defined incorrectly, or if the base case is not included.",recursion refers to situations in which functions call themselves. These types of functions are known as recursive functions. That being said Infinite recursion occurs when the function is designed in such a way as to call it self forever without stopping possible causes,when defining recursive function possible causes infinite recursion recursion refers situations functions call themselves these types functions known recursive functions that said infinite recursion occurs function designed way call self forever without stopping possible causes
3238,805,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,not answered,using index outside bounds array generates error is compilation error run time error answered
3239,2362,2023-08-12,What is the Euler tour traversal of a tree?,"A walk around the tree, starting with the root, where each node is seen three times: from the left, from below, from the right.","It is a tree that shows how it functions. It contains parents, children, siblings, ancestors and descendents. The use of tree type algorithm is also an alternative sorting algorithm.",what euler tour traversal tree it tree shows functions it contains parents children siblings ancestors descendents the use tree type algorithm also alternative sorting algorithm
3240,523,2023-04-03,What is the main advantage associated with function arguments that are passed by reference?,It avoids making copies of large data structures when calling functions.,"Gives access to the caller data directly, also it allows for modifying the data.",what main advantage associated function arguments passed reference gives access caller data directly also allows modifying data
3241,1923,2023-03-11,How are objects initialized when they are created?,By using constructors.,ie. GradeBook myGradeBook();<br><br>call upon the class and then give it a name like shown,how objects initialized created ie gradebook mygradebook br br call upon class give name like shown
3242,443,2023-01-03,What does a function signature include?,The name of the function and the types of the parameters.,a function's return type and parameter list,what function signature include function return type parameter list
3243,1711,2023-01-10,What is a tree?,"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.",A finite set of nodes that starts with the root and terminates with leaves.,what tree finite set nodes starts root terminates leaves
3244,324,2023-05-02,How many constructors can be created for a class?,Unlimited number.,Just one per class.,how many constructors created class just one per class
3245,823,2023-07-04,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,columns,how bi dimensional arrays stored memory rows columns columns
3246,1224,2023-04-07,How are linked lists passed as arguments to a function?,By reference.,passes a pointer to a linked list object,how linked lists passed arguments function passes pointer linked list object
3247,2330,2023-06-12,What is a queue?,A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,like a linked list expect first in last out,what queue like linked list expect first last
3248,1824,2023-06-10,What is the inorder traversal of a binary tree?,"Traverse the left subtree, then the root, then the right subtree.",postorder,what inorder traversal binary tree postorder
3249,1058,2023-05-06,What does the sizeof operator return?,The size in bytes of its operand.,The sizeof operator returns the size of the operand.,what sizeof operator return the sizeof operator returns size operand
3250,1570,2023-03-09,How can you implement a queue with an array?,"Use a circular array. Keep the rear of the queue toward the end of the array, and the front toward the beginning, and allow the rear pointer to wrap around.","make an array of a size, and add on to the front and delete from the back, keep track of the two so that you know when it is full and where to add or subtract from",how implement queue array make array size add front delete back keep track two know full add subtract
3251,642,2023-01-04,What are the two different ways of specifying the length of an array?,"In the array declaration, or by using an initializer list.","statically, using {} and dynamically, using []",what two different ways specifying length array statically using dynamically using
3252,2250,2023-04-12,"Briefly, how does selection sort work?","It selects the minimum from an array and places it on the first position, then it selects the minimum from the rest of the array and places it on the second position, and so forth.","Selection sort is a sorting algorithm that divides a list in half and has two lists. It then compares the first elements in both these lists and puts these elements in another list, having the smaller element before the bigger one.",briefly selection sort work selection sort sorting algorithm divides list half two lists it compares first elements lists puts elements another list smaller element bigger one
3253,64,2023-03-01,What are the main advantages associated with object-oriented programming?,Abstraction and reusability., Object oriented programming allows programmers to use an object with classes that can be changed and manipulated while not affecting the entire object at once. The classes all hold attrubutes that affect the object.,what main advantages associated object oriented programming object oriented programming allows programmers use object classes changed manipulated affecting entire object once the classes hold attrubutes affect object
3254,387,2023-07-02,What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",No,what role header file no
3255,304,2023-04-02,When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",Before the main function of the code.,when create default constructor before main function code
3256,1862,2023-07-10,How many comparisons does it take to find an element in a binary search tree?,The height of the tree (or log of the number of elements in the tree).,2 way key comparison,how many comparisons take find element binary search tree way key comparison
3257,1566,2023-03-09,How can you implement a queue with an array?,"Use a circular array. Keep the rear of the queue toward the end of the array, and the front toward the beginning, and allow the rear pointer to wrap around.",you could use the first element of the list as the remove point and insert at the end f you do this you would have to shift the elements down each time you remove an item unless you make the array circular.,how implement queue array could use first element list remove point insert end would shift elements time remove item unless make array circular
3258,1231,2023-04-07,How are linked lists passed as arguments to a function?,By reference.,the pointer to the first element is passed to a function,how linked lists passed arguments function pointer first element passed function
3259,612,2023-07-03,What are the similarities between iteration and recursion?,They both involve repetition; they both have termination tests; they can both occur infinitely.,not answered,what similarities iteration recursion answered
3260,1527,2023-01-09,What is a queue?,"A data structure that can store elements, which has the property that the last item added will be the last to be removed (or first-in-first-out).","Queue is a buffer, which store element in a particular order",what queue queue buffer store element particular order
3261,1088,2023-06-06,What are the different ways to pass a pointer to a function?,"There are four ways: nonconstant pointer to constant data, nonconstant pointer to nonconstant data, constant pointer to constant data, constant pointer to nonconstant data.",you can pass a pointer to a pointer or pass a reference to pointer.,what different ways pass pointer function pass pointer pointer pass reference pointer
3262,86,2023-03-01,What are the main advantages associated with object-oriented programming?,Abstraction and reusability., existing classes can be reused<br>program maintenance and verification are easier,what main advantages associated object oriented programming existing classes reused br program maintenance verification easier
3263,823,2023-07-04,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,columns,how bi dimensional arrays stored memory rows columns columns
3264,663,2023-02-04,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,The strings declared using an array of characters have a null element added at the end of the array.,"Unlike in a string declared using type string, in a string declared using an array of characters the programmer must provide the null terminating character and must ensure the array is large enough to hold the string and null terminating character.",what main difference strings declared using type string versus strings declared using array characters unlike string declared using type string string declared using array characters programmer must provide null terminating character must ensure array large enough hold string null terminating character
3265,1986,2023-05-11,What is a recursive function?,A function that calls itself.,A base case that calls upon itself until the problem becomes smaller and terminates.,what recursive function base case calls upon problem becomes smaller terminates
3266,2433,2023-10-12,How many steps does it take to search a node in a binary search tree?,The height of the tree.,3 steps at most.  There are 3 cases.,how many steps take search node binary search tree steps most there cases
3267,781,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error,using index outside bounds array generates error is compilation error run time error compilation error
3268,2313,2023-06-12,What is a queue?,A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.,like a linked list except it is first in last out,what queue like linked list except first last
3269,386,2023-07-02,What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",Header files separate files in which classes are defined and allow the compiler to recognize classes when used elsewhere.,what role header file header files separate files classes defined allow compiler recognize classes used elsewhere
3270,858,2023-01-05,"In one sentence, what is the main idea implemented by insertion sort?","Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left.",Insert the item into its proper position by shifting larger sorted array values to the right.<br>,in one sentence main idea implemented insertion sort insert item proper position shifting larger sorted array values right br
3271,1005,2023-03-06,What does the star (*) operator return?,An alias (synonym) for the name of the object that its operand points to in memory. It is the dereferencing operator.,returns a synonym for the object to which its pointer operand points.,what star operator return returns synonym object pointer operand points
3272,2371,2023-08-12,What is the Euler tour traversal of a tree?,"A walk around the tree, starting with the root, where each node is seen three times: from the left, from below, from the right.",The Euler tour traverses through the tree in a rubber-band style shape.,what euler tour traversal tree the euler tour traverses tree rubber band style shape
3273,2033,2023-06-11,What is the alternative way to solve a problem that could be solved through recursive functions?,Through iteration.,using an iterative solution instead,what alternative way solve problem could solved recursive functions using iterative solution instead
3274,805,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,not answered,using index outside bounds array generates error is compilation error run time error answered
3275,2072,2023-07-11,What is the difference between an array that is declared as static and one that is not?,The static arrays are intialized only once when the function is called.,static has a predetermined size that cannot be passed while vis versa.,what difference array declared static one not static predetermined size cannot passed vis versa
3276,1853,2023-07-10,How many comparisons does it take to find an element in a binary search tree?,The height of the tree (or log of the number of elements in the tree).,O(n),how many comparisons take find element binary search tree n
3277,2261,2023-04-12,"Briefly, how does selection sort work?","It selects the minimum from an array and places it on the first position, then it selects the minimum from the rest of the array and places it on the second position, and so forth.",it runs through the list and finds the smallest (or largest) value and puts it at the appropriate position,briefly selection sort work runs list finds smallest or largest value puts appropriate position
3278,19,2023-01-01, What is the role of a prototype program in problem solving?, To simulate the behaviour of portions of the desired software product., It tests the main function of the program while leaving out the finer details.<br>,what role prototype program problem solving it tests main function program leaving finer details br
3279,331,2023-05-02,How many constructors can be created for a class?,Unlimited number.,One,how many constructors created class one
3280,1236,2023-04-07,How are linked lists passed as arguments to a function?,By reference.,linked lists are passed by using pointers<br>,how linked lists passed arguments function linked lists passed using pointers br
3281,840,2023-07-04,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,No answer,how bi dimensional arrays stored memory rows columns no answer
3282,789,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error,using index outside bounds array generates error is compilation error run time error compilation error
3283,53,2023-02-01, What stages in the software life cycle are influenced by the testing stage?, The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7)," Removing logical errors, testing for valid data, random data and actual data.",what stages software life cycle influenced testing stage removing logical errors testing valid data random data actual data
3284,2264,2023-04-12,"Briefly, how does selection sort work?","It selects the minimum from an array and places it on the first position, then it selects the minimum from the rest of the array and places it on the second position, and so forth.","by selecting the first object and comparing it with the next objects to find one that is smaller, if it does it switches the two.  then it comes back the other way and sees if the objects previous to the last one is greater, if it does it switches them.  it does this while decreasing the range it looks at until it finishes in the middle.",briefly selection sort work selecting first object comparing next objects find one smaller switches two comes back way sees objects previous last one greater switches them decreasing range looks finishes middle
3285,489,2023-03-03,How does the compiler handle inline functions?,It makes a copy of the function code in every place where a function call is made.,it treats them as the same function,how compiler handle inline functions treats function
3286,1944,2023-03-11,How are objects initialized when they are created?,By using constructors.,they are initialized to a value dependent on the compiler,how objects initialized created initialized value dependent compiler
3287,525,2023-04-03,What is the main advantage associated with function arguments that are passed by reference?,It avoids making copies of large data structures when calling functions.,The original variable being referenced can be modified directly by the called function.,what main advantage associated function arguments passed reference the original variable referenced modified directly called function
3288,496,2023-03-03,How does the compiler handle inline functions?,It makes a copy of the function code in every place where a function call is made.,The compiler can ignore the inline qualifier and typically does so for all but the smallest functions.,how compiler handle inline functions the compiler ignore inline qualifier typically smallest functions
3289,2009,2023-05-11,What is a recursive function?,A function that calls itself.,"A function that calls itself over and over again till a base case is reached, then it returns back to the original function.",what recursive function function calls till base case reached returns back original function
3290,2179,2023-01-12,What is a pointer?,The address of a location in memory.,it contains a object's memory address,what pointer contains object memory address
3291,1965,2023-04-11,What is a function signature?,"The name of the function and the list of parameters, including their types.",the body of the function that holds all the actual code,what function signature body function holds actual code
3292,785,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,Its a run-time error.,using index outside bounds array generates error is compilation error run time error its run time error
3293,859,2023-01-05,"In one sentence, what is the main idea implemented by insertion sort?","Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left.",a comparison sort in which the sorted array is built one entry at a time,in one sentence main idea implemented insertion sort comparison sort sorted array built one entry time
3294,643,2023-01-04,What are the two different ways of specifying the length of an array?,"In the array declaration, or by using an initializer list.","define it as array[5] or array[1,2,3,4,5]",what two different ways specifying length array define array array
3295,751,2023-05-04,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"All the dimensions, except the first one.","at least 2, depending on how many arrays are being used.",how many dimensions need specified passing multi dimensional array argument function least depending many arrays used
3296,1824,2023-06-10,What is the inorder traversal of a binary tree?,"Traverse the left subtree, then the root, then the right subtree.",postorder,what inorder traversal binary tree postorder
3297,2409,2023-09-12,How do you delete a node from a binary search tree?,"Find the node, then replace it with the leftmost node from its right subtree (or the rightmost node from its left subtree).",not answered,how delete node binary search tree answered
3298,222,2023-01-02,What is typically included in a class definition?,Data members (attributes) and member functions.," public section and private section, and there must be a semicolon to set the end",what typically included class definition public section private section must semicolon set end
3299,1715,2023-01-10,What is a tree?,"A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree.","A nonlinear, two-dimensional data structure.",what tree nonlinear two dimensional data structure
3300,1613,2023-04-09,How can you implement a queue with a list?,"Keep the rear of the queue pointing to the tail of the linked list, so the enqueue operation is done at the end of the list, and keep the front of the queue pointing to the head of the linked list, so the dequeue operation is done at the beginning of the list.",      temp-&gt;next= NULL;<br>      if (front)  { (rear) -&gt; next= temp;}<br>      else front = temp;<br>      rear = temp;   }<br>,how implement queue list temp gt next null br front rear gt next temp br else front temp br rear temp br
3301,1905,2023-02-11,What are the access-specifiers that can be used in a C++ class definition?,Private and public.,"static, long, unsigned",what access specifiers used class definition static long unsigned
3302,240,2023-02-02,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them., A local variable can only be accessed within the scope of its declaration.,what difference data member local variable inside member function local variable accessed within scope declaration
3303,1027,2023-03-06,What does the star (*) operator return?,An alias (synonym) for the name of the object that its operand points to in memory. It is the dereferencing operator.,a reference to a = variable,what star operator return reference variable
3304,2429,2023-10-12,How many steps does it take to search a node in a binary search tree?,The height of the tree.,"N, n being the number of nodes.",how many steps take search node binary search tree n number nodes
3305,304,2023-04-02,When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",Before the main function of the code.,when create default constructor before main function code
3306,27,2023-01-01, What is the role of a prototype program in problem solving?, To simulate the behaviour of portions of the desired software product.," the prototype program gives a general idea of what the end product will do, <br><br>without the time and effort to write out the entire program.",what role prototype program problem solving prototype program gives general idea end product do br br without time effort write entire program
3307,2198,2023-02-12,What is the experimental approach for measuring the running time of an algorithm?,Implement the algorithm and measure the physical running time.,not answered,what experimental approach measuring running time algorithm answered
3308,1944,2023-03-11,How are objects initialized when they are created?,By using constructors.,they are initialized to a value dependent on the compiler,how objects initialized created initialized value dependent compiler
3309,1307,2023-07-07,What is the main disadvantage of a doubly-linked list over a basic linked list?,Extra space required to store the back pointers.,The main disadvanate is that if hard to remove all items in the list.,what main disadvantage doubly linked list basic linked list the main disadvanate hard remove items list
3310,1099,2023-06-06,What are the different ways to pass a pointer to a function?,"There are four ways: nonconstant pointer to constant data, nonconstant pointer to nonconstant data, constant pointer to constant data, constant pointer to nonconstant data.",you can pass the reference or the dereference in a function,what different ways pass pointer function pass reference dereference function
3311,1600,2023-04-09,How can you implement a queue with a list?,"Keep the rear of the queue pointing to the tail of the linked list, so the enqueue operation is done at the end of the list, and keep the front of the queue pointing to the head of the linked list, so the dequeue operation is done at the beginning of the list.","You create a list of nodes that had a head and a top pointer, and the functions are basically the same substituting pop and push with enqueue and dequeue",how implement queue list you create list nodes head top pointer functions basically substituting pop push enqueue dequeue
3312,147,2023-06-01,Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),In the Function main() before using the variable.,where variables declared program in function main using variable
3313,1735,2023-02-10,What is the height of a tree?,The length of the longest path from the root to any of its leaves.,is equal to the number of levels.  levels between the root node and the terminal nodes.,what height tree equal number levels levels root node terminal nodes
3314,920,2023-03-05,"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",N (the length of the array) operations achieved for a sorted array.,theta(n)<br>the best case senario is that everything is already sorted,what number operations insertion sort best case scenario best case scenario theta br the best case senario everything already sorted
3315,2225,2023-03-12,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,log(logn)<br>2^(logn)<br>n!<br>n^3<br>n^2,order following functions running time log log log n log logn br logn br br br
3316,516,2023-04-03,What is the main advantage associated with function arguments that are passed by reference?,It avoids making copies of large data structures when calling functions.,The function can change the data stored in a variable passed by reference directly.,what main advantage associated function arguments passed reference the function change data stored variable passed reference directly
3317,782,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error.,using index outside bounds array generates error is compilation error run time error compilation error
